FRS_FACILITY_DETAIL_REPORT_URL,REGISTRY_ID,PRIMARY_NAME,LOCATION_ADDRESS,SUPPLEMENTAL_LOCATION,CITY_NAME,COUNTY_NAME,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NAME,POSTAL_CODE,FEDERAL_FACILITY_CODE,FEDERAL_AGENCY_NAME,TRIBAL_LAND_CODE,TRIBAL_LAND_NAME,CONGRESSIONAL_DIST_NUM,CENSUS_BLOCK_CODE,HUC_CODE,EPA_REGION_CODE,SITE_TYPE_NAME,LOCATION_DESCRIPTION,CREATE_DATE,UPDATE_DATE,US_MEXICO_BORDER_IND,PGM_SYS_ACRNMS,LATITUDE83,LONGITUDE83,CONVEYOR,COLLECT_DESC,ACCURACY_VALUE,REF_POINT_DESC,HDATUM_DESC,SOURCE_DESC
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110005040721,110005040721,SHELL SERVICES INTERNATIONAL,1500 OLD SPANISH TRAIL,,HOUSTON,HARRIS,48201,TX,TEXAS,UNITED STATES,77054-1818,,,,,09,482013144002020,12040104,06,STATIONARY,,01-MAR-00,30-JUL-13,,"RCRAINFO:TXD021490644, TX-TCEQ ACR:RN100575141",29.69407,-95.40736,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110005070038,110005070038,FAIRFIELD INDUSTRIES,10627 KINGHURST DR,,HOUSTON,HARRIS,48201,TX,TEXAS,UNITED STATES,77099-3563,,,,,09,482014533001047,12040104,06,STATIONARY,,01-MAR-00,09-AUG-10,,"RCRAINFO:TXD102652450, TX-TCEQ ACR:RN100729474",29.661889,-95.5653,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,150,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110005077424,110005077424,AMERICAN TELEPHONE AND TELEGRAPH,2517 OLD GLADEWATER HWY TYLER,TX,"TYLER, TX",SMITH,48423,TX,TEXAS,UNITED STATES,75701,,,,,01,484230003001094,12020001,06,STATIONARY,,01-MAR-00,10-APR-20,,RCRAINFO:TXD980540314,32.374193,-95.283616,COMMERCIAL VENDOR,ADDRESS MATCHING-HOUSE NUMBER,150,PLANT ENTRANCE (GENERAL),NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110006125870,110006125870,LUFKIN PAPER MILL,203 HIGHWAY 103 EAST,,LUFKIN,ANGELINA,48005,TX,TEXAS,UNITED STATES,75901,,,,,01,480050002002006,12020005,06,STATIONARY,,01-MAR-00,07-OCT-16,,"AIR:TX0000004800500003, AIRS/AFS:4800500003, ICIS:34537, NPDES:TX0001643, RCRAINFO:TXD087716122, TRIS:75902CHMPNHIGHW, TX-TCEQ ACR:RN100220110, TX-TCEQ ACR:RN102924453",31.361863,-94.677443,ICIS,INTERPOLATION-MAP,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110006126520,110006126520,AMERICAN TELEPHONE AND TELEGRAPH,HWY 1097 3 MI E NE WILLIS TX,,"WILLIS, TX",MONTGOMERY,48339,TX,TEXAS,UNITED STATES,77378,,,,,,,,06,STATIONARY,,01-MAR-00,09-AUG-10,,RCRAINFO:TXD980540744,,,,,,,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110006126557,110006126557,AMERICAN TELEPHONE AND TELEGRAPH,HWY 158 10 MI N OF ODESSA TX,,"ODESSA, TX",ECTOR,48135,TX,TEXAS,UNITED STATES,79760,,,,,,,,06,STATIONARY,,01-MAR-00,09-AUG-10,,RCRAINFO:TXD980598965,,,,,,,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110008152006,110008152006,AMERICAN TELEPHONE AND TELEGRAPH,1.6 MI NE L432350 WOODBURY TX,,"WOODBURY, TX",HILL,48217,TX,TEXAS,UNITED STATES,76645,,,,,,,,06,STATIONARY,,01-MAR-00,09-AUG-10,,RCRAINFO:TXD980540215,,,,,,,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110008152079,110008152079,AMERICAN TELEPHONE AND TELEGRAPH,1.8 MI W L436860 ROSENBERG TX,,"ROSENBERG, TX",FORT BEND,48157,TX,TEXAS,UNITED STATES,77471,,,,,,,,06,STATIONARY,,01-MAR-00,10-APR-20,,RCRAINFO:TXD980540413,,,,,,,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110008152355,110008152355,AMERICAN TELEPHONE AND TELEGRAPH,4.5 MI N L432670 MARSHALL TX,,"MARSHALL, TX",HARRISON,48203,TX,TEXAS,UNITED STATES,75670,,,,,,,,06,STATIONARY,,01-MAR-00,09-AUG-10,,RCRAINFO:TXD980598940,,,,,,,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110008152373,110008152373,AMERICAN TELEPHONE AND TELEGRAPH,2.5 MI NE L432650 LINDALE TX,,"LINDALE, TX",SMITH,48423,TX,TEXAS,UNITED STATES,75771,,,,,,,,06,STATIONARY,,01-MAR-00,09-AUG-10,,RCRAINFO:TXD980598999,,,,,,,NAD83,
